name, province
Bhojpur, prov_1
Dhankuta, prov_1
Ilam, prov_1
Jhapa, prov_1
Khotang, prov_1
Morang, prov_1
Okhaldhunga, prov_1
Panchthar, prov_1
Sankhuwasabha, prov_1
Solukhumbu, prov_1
Sunsari, prov_1
Taplejung, prov_1
Terhathum, prov_1
Udayapur, prov_1
Bara, prov_2
Dhanusa, prov_2
Mahottari, prov_2
Parsa, prov_2
Rautahat, prov_2
Saptari, prov_2
Sarlahi, prov_2
Siraha, prov_2
Bhaktapur, bagmati_prov
Chitwan, bagmati_prov
Dhading, bagmati_prov
Dolakha, bagmati_prov
Kathmandu, bagmati_prov
Kavrepalanchok, bagmati_prov
Lalitpur, bagmati_prov
Makawanpur, bagmati_prov
Nuwakot District, bagmati_prov
Ramechhap, bagmati_prov
Rasuwa, bagmati_prov
Sindhuli, bagmati_prov
Sindhupalchok, bagmati_prov
Baglung, gandaki_prov
Gorkha, gandaki_prov
Kaski, gandaki_prov
Lamjung, gandaki_prov
Manang, gandaki_prov
Mustang, gandaki_prov
Myagdi, gandaki_prov
Nawalpur, gandaki_prov
Parbat, gandaki_prov
Syangja, gandaki_prov
Tanahu, gandaki_prov
Arghakhanchi, lumbini_prov
Banke, lumbini_prov
Bardiya, lumbini_prov
Dang, lumbini_prov
Gulmi, lumbini_prov
Kapilvastu, lumbini_prov
Parasi, lumbini_prov
Palpa, lumbini_prov
Pyuthan, lumbini_prov
Rolpa, lumbini_prov
Rukum, lumbini_prov
Rupandehi, lumbini_prov
Dailekh, karnali_prov
Dolpa, karnali_prov
Humla, karnali_prov 
Jajarkot, karnali_prov
Jumla, karnali_prov
Kalikot, karnali_prov
Mugu, karnali_prov
Rukum, karnali_prov
Salyan, karnali_prov 
Surkhet, karnali_prov 
Achham, sudur_prov
Baitadi, sudur_prov
Bajhang, sudur_prov
Bajura, sudur_prov
Dadeldhura, sudur_prov
Darchula, sudur_prov
Doti, sudur_prov
Kailali, sudur_prov
Kanchanpur, sudur_prov
